session_id,probe,behavior,side,behavior_pass,pass_ephys_qc,Notes,raw_data,sorted_old,sorted type,sorted,,sorted_opto_curation,sorted_curated,sorted_opto_bandpass,sorted_opto_highpass_curation,model_stan
behavior_841599_2026-05-13_13-19-27,2,1,1,1,1,,2dc28170-0eb0-467e-9c2e-5c7a3939a119,No auto sorting,"ecephys_ks25_opto, bandpass",4a1a93f8-6ef5-4bef-93c8-70c443aa4a6a,,,,,,
behavior_841599_2026-05-14_13-27-52,2,1,-1,1,1,,056bfa55-2255-45c9-8344-f325609a4fc8,cb17d4fb-384b-4570-b92d-75cf6e75be01,"ecephys_ks25_opto, bandpass",49470f6f-1b9e-4d02-b67c-155ba10d749d,,,,,,
behavior_841599_2026-05-15_12-57-50,2,1,-1,1,1,,0e884ae9-4704-4b5f-b650-64be0d33c94b,No auto sorting,"ecephys_ks25_opto, bandpass",408f1b50-026a-48e2-b876-545db7b395f3,,,,,,
behavior_844917_2026-06-02_11-08-15,2,1,1,1,1,,8d88c714-340a-4e19-b5c1-97e3442d080d,64e2737e-bab0-40f5-916e-b1a2b707ad83,"ecephys_ks25_opto, bandpass",9ae3d86b-af77-4917-b890-eefee0c92cbb,,,,,,
behavior_844917_2026-06-03_12-56-55,2,1,1,1,1,,67cf3068-aaa2-4f07-a347-5b6b4596239e,f544402c-03bc-49c3-ba0c-ecbf1a9134ca,"ecephys_ks25_opto, bandpass",3976f315-1eb9-4621-9fbe-ce476c08cb58,,,,,,
behavior_844917_2026-06-04_12-30-01,2,1,-1,1,1,,4344a07d-6d07-4c79-9881-c20994e2f57c,74405658-1b2c-4583-8d5f-e90017d7f745,"ecephys_ks25_opto, bandpass",0aec2297-37fc-4d27-aca5-9fd27755d51e,,,,,,
behavior_844917_2026-06-05_12-26-47,2,1,-1,1,1,,d243781d-03cb-45e7-8362-f6799b275a84,No auto sorting,"ecephys_ks25_opto, bandpass",c923f865-d6bf-4643-b0e5-70e051c29987,,,,,,
behavior_844920_2026-06-10_11-30-14,2,1,-1,1,1,,705ecb00-43fb-4ab2-afaa-066fe626c55d,93e989bd-8a4f-47d1-9a74-30f2045feb73,"ecephys_ks25_opto, bandpass",be236492-d3de-4aa1-b4ef-1a796be65306,,,,,,
behavior_844920_2026-06-11_11-27-15,2,1,1,1,1,,905be0c7-013d-4937-a806-857da5269e47,No auto sorting,"ecephys_ks25_opto, bandpass",f27f0d37-61eb-4c50-befd-7cf479e1cb85,,,,,,
behavior_844920_2026-06-12_11-03-09,2,1,1,1,1,,0d67368d-f1d3-44fd-9a0d-e5917896825f,No auto sorting,"ecephys_ks25_opto, bandpass",58bdfe9c-7413-4bdb-9c85-05313795e792,,,,,,
